# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: Plan Your Recovery
# Property: Plan Your Recovery - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20260224
# End date: 20260323
Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
/,221,154,1.4350649350649352,12.35064935064935,683,0,0
/team/,139,83,1.6746987951807228,39.34939759036145,359,0,0
/adults/,74,37,2,23.43243243243243,125,0,0
/booking/,53,28,1.8928571428571428,28.321428571428573,88,0,0
/students/,33,22,1.5,18.181818181818183,67,0,0
/articles/recovery-online/,30,7,4.285714285714286,18.714285714285715,76,0,0
/beyond-recovery/,28,21,1.3333333333333333,15.285714285714286,45,0,0
/psychiatry/,27,18,1.5,14.666666666666666,59,0,0
/teens/,24,16,1.5,11.5625,46,0,0
/videos/,15,15,1,1.6666666666666667,42,0,0
/ce/,14,14,1,3.642857142857143,34,0,0
/referrals/,12,12,1,7.333333333333333,34,0,0
/privacy/,10,10,1,0,31,0,0
/adults,9,5,1.8,41.4,11,0,0
/ce/narratives-of-recovery/,8,8,1,2.75,17,0,0
/articles/adolescent-development-and-addiction,5,4,1.25,28,7,0,0
/michelle/,5,5,1,0,7,0,0
/medication/opioid,4,1,4,2,11,0,0
/psychiatry/alcohol/,4,4,1,9.5,15,0,0
/ce/mat-alcohol-use-disorder/,3,3,1,5.333333333333333,11,0,0
/ce/mat-opioid-use-disorder/,3,3,1,5.666666666666667,10,0,0
/ce/substance-use-disorders-in-private-practice/,3,3,1,6.333333333333333,10,0,0
/ce/understanding-and-treating-marijuana-use-disorder/,3,3,1,0,9,0,0
/testing/,3,3,1,2.3333333333333335,12,0,0
/about,2,1,2,0,4,0,0
/about-this-site/,2,2,1,0,7,0,0
/ce-about,2,1,2,0,4,0,0
/ce-self-study,2,1,2,0,4,0,0
/ce/moderation-therapeutic-goal-or-destructive-fantasy/,2,2,1,0,6,0,0
/ce/substances-disrupt-college/,2,2,1,9,7,0,0
/ce/when-to-say-when/,2,2,1,0,7,0,0
/contact,2,1,2,0,4,0,0
/docs/directions_to_pyr.png,2,1,2,1,2,0,0
/favicon.ico,2,1,2,3,4,0,0
/questions-answers,2,1,2,0,4,0,0
/questions-answers/disease-or-disorder/,2,1,2,0,4,0,0
/questions-answers/what-is-addiction/,2,1,2,0,4,0,0
/questions-answers/what-is-recovery/,2,1,2,0,4,0,0
/reflections,2,1,2,0,4,0,0
/stories/,2,1,2,1,5,0,0
/videos,2,2,1,0,7,0,0
//checkout/,1,1,1,7,5,0,0
/animations/,1,1,1,0,4,0,0
/ce-about/,1,1,1,0,4,0,0
/ce-self-study/,1,1,1,0,4,0,0
/ce-webinars,1,1,1,0,4,0,0
/ce-webinars/,1,1,1,0,4,0,0
/ce/children-of-persons-with-addiction/,1,1,1,0,3,0,0
/ce/contingency-management-teens/,1,1,1,0,3,0,0
/ce/partners-and-spouses-1/,1,1,1,8,4,0,0
/ce/partners-and-spouses-2/,1,1,1,0,3,0,0
/ce/understanding-and-treating-marijuana-use-disorder,1,1,1,0,3,0,0
/interventions/,1,1,1,18,4,0,0
/questions-answers/addiction-and-the-brain/,1,1,1,0,4,0,0
/reflections/moderation/,1,1,1,0,4,0,0
/testing,1,1,1,0,3,0,0
